id,project_id,name,role
516,230,Keri Stephens,AUTHOR
517,231,"Eisenman, David P.",AUTHOR
518,232,"Eisenman, David P.",AUTHOR
519,233,"PRADEILLES, Rebecca",AUTHOR
520,233,"KEARNEY, Colette",AUTHOR
521,233,"LAAR, Amos",AUTHOR
522,233,"HOLDSWORTH, Michelle",AUTHOR
523,233,"ZOTOR, Francis",AUTHOR
524,233,"TANDOH, Akua",AUTHOR
525,233,"KLOMEGAH, Senam",AUTHOR
526,233,"COLEMAN, Nat",AUTHOR
527,233,"BASH, Kristin",AUTHOR
528,233,"GREEN, Mark",AUTHOR
529,233,"GRIFFITHS, Paula",AUTHOR
530,234,"Fernández González, Noelia",AUTHOR
531,235,"Duran, Nicholas",AUTHOR
532,235,"Paxton, Alexandra",AUTHOR
533,235,"Fusaroli, Riccardo",AUTHOR
534,236,"Duran, Nicholas",AUTHOR
535,236,"Paxton, Alexandra",AUTHOR
536,236,"Fusaroli, Riccardo",AUTHOR
537,237,"Sullivan, Tami P.",AUTHOR
538,238,"Sullivan, Tami P.",AUTHOR
539,1194,"Davidson Abella, Anna",AUTHOR
540,1194,"Vargo, Amy C.",AUTHOR
541,1199,"Davidson Abella, Anna",AUTHOR
542,1199,"Vargo, Amy C.",AUTHOR
543,241,"Saunders, Daniel",AUTHOR
544,241,"Faller, Kathleen",AUTHOR
545,241,"Tolman, Richard M.",AUTHOR
546,242,"Saunders, Daniel",AUTHOR
547,242,"Faller, Kathleen",AUTHOR
548,242,"Tolman, Richard M.",AUTHOR
549,243,"Girard, Amy",AUTHOR
550,244,"Girard, Amy",AUTHOR
551,245,"Zhou, Chengmin",AUTHOR
552,245,"Gu, Wenhui",AUTHOR
553,246,"Hickner, Andy",AUTHOR
554,247,"Valand, Ida Ulrikke",AUTHOR
555,248,"Zuber, Katie",AUTHOR
556,248,"Strach, Patricia",AUTHOR
557,248,"Pérez-Chiqués, Elizabeth",AUTHOR
558,249,"Herrera, Veronica",AUTHOR
559,250,"Awasthi, Kiran",AUTHOR
560,251,"Boynito, Wanzahun Godana",AUTHOR
561,252,"Borghini, Stefania",AUTHOR
562,4949,"Schell, Jane",AUTHOR
563,4949,"Ernecoff, Natalie",AUTHOR
564,4998,"Reb, Anne",AUTHOR
565,255,"Ramírez Stege, Alyssa M.",AUTHOR
566,255,"Yarris, Kristin Elizabeth",AUTHOR
567,256,"Gans-Morse, Jordan",AUTHOR
568,5050,"Lee, Sunghoon Ivan",AUTHOR
569,5050,"Choe, Eun Kyoung",AUTHOR
570,5050,"Jung, Hee-Tae",AUTHOR
571,258,"Chang, Pi-Hua",AUTHOR
572,259,"Holland, Alisha",AUTHOR
573,260,"Masullo, Juan",AUTHOR
574,5161,"Mueller, Jennifer",AUTHOR
575,5161,"Kirstein, Marielle",AUTHOR
576,5161,"VandeVusse, Alicia",AUTHOR
577,5161,"Lindberg, Laura",AUTHOR
578,262,"Holland, Melanie",AUTHOR
579,262,"Demaree, Kat",AUTHOR
580,262,"Thomas, Evan",AUTHOR
581,263,"Myrick, Rachel",AUTHOR
582,263,"Weinstein, Jeremy",AUTHOR
583,264,"McGinley, John",AUTHOR
584,264,"Ksor, Risuin",AUTHOR
585,264,"Bush, Catherine",AUTHOR
586,265,"Yeh, Emily T.",AUTHOR
587,266,"Aguessivognon, Togla   Aymard",AUTHOR
588,267,"Arrey, Agnes Ebotabe",AUTHOR
589,268,"Boyer, Eric",AUTHOR
590,5310,"Chea, Stevenson",AUTHOR
591,270,"Arney, Jennifer",AUTHOR
592,270,"Bertone, Andrea M.",AUTHOR
593,271,"Aguessivognon, Togla Aymard",AUTHOR
594,272,"Mayka, Lindsay",AUTHOR
595,273,"Smith, Jennifer",AUTHOR
596,273,Holmes-Elliott,AUTHOR
597,5398,"Gropper, Hannes",AUTHOR
598,5398,Jannika M. John,AUTHOR
599,5398,Ansgar Thiel,AUTHOR
600,275,"Ellett, Rachel",AUTHOR
601,276,"Rich, Jessica",AUTHOR
602,5506,"Baum, Eleonore",AUTHOR
603,5506,"Abdi, Sied",AUTHOR
604,5506,"Arab Abdilahi, Roda",AUTHOR
605,278,"Webb, Katie R.",AUTHOR
606,278,University of Washington,AUTHOR
607,278,"Ismach, Alan",AUTHOR
