id,project_id,file_name,file_type,status
220,58,Harrison_s1_p21_clinician_MD_interview.pdf,pdf,SUCCEEDED
221,58,Harrison_s1_p22_clinician_RN_interview.pdf,pdf,SUCCEEDED
222,58,Harrison_s1_p23_clinician_sw_interview.pdf,pdf,SUCCEEDED
223,58,Harrison_s1_p24_leader_MD_interview.pdf,pdf,SUCCEEDED
224,58,Harrison_s1_p25_clinician_RN_interview.pdf,pdf,SUCCEEDED
225,58,Harrison_s1_p26_clinician_RN_interview.pdf,pdf,SUCCEEDED
226,58,Harrison_s2_p27_leader_MD_interview.pdf,pdf,SUCCEEDED
227,58,Harrison_s2_p28_clinician_SW_interview.pdf,pdf,SUCCEEDED
228,58,Harrison_s2_p29_leader_RN_interview.pdf,pdf,SUCCEEDED
229,58,Harrison_s2_p30_clinician_QI-RN_notes.pdf,pdf,SUCCEEDED
230,58,Harrison_s2_p31_clinician_SW_RN_interview.pdf,pdf,SUCCEEDED
231,58,Harrison_s2_p32_clinician_MD_interview.pdf,pdf,SUCCEEDED
232,58,Harrison_s2_p33_QI_RN_interview.pdf,pdf,SUCCEEDED
233,58,Harrison_s2_p34_leader_RN_interview.pdf,pdf,SUCCEEDED
234,58,Harrison_s2_p35_clinician_RN_interview.pdf,pdf,SUCCEEDED
235,58,Harrison_s2_p36_clinician_RN_interview.pdf,pdf,SUCCEEDED
236,58,Harrison_s2_p37_clinician_CP_interview.pdf,pdf,SUCCEEDED
237,58,Harrison_s2_p38_clinician_RN_interview.pdf,pdf,SUCCEEDED
238,58,Harrison_s2_p39_clinician_RN_interview.pdf,pdf,SUCCEEDED
239,58,Harrison_s3_p10_clinician_sw_interview.pdf,pdf,SUCCEEDED
240,58,Harrison_s3_p11_clinician_RN_interview.pdf,pdf,SUCCEEDED
241,58,Harrison_s3_p12_clinician_SW_interview.pdf,pdf,SUCCEEDED
242,58,Harrison_s3_p13_clinician_RN_interview.pdf,pdf,SUCCEEDED
243,58,Harrison_s3_p14_clinician_sw_interview.pdf,pdf,SUCCEEDED
244,58,Harrison_s3_p1_leader_MD_interview.pdf,pdf,SUCCEEDED
245,58,Harrison_s3_p2_leader_APN_interview.pdf,pdf,SUCCEEDED
246,58,Harrison_s3_p3_QI_interview.pdf,pdf,SUCCEEDED
247,58,Harrison_s3_p4_leader_interview.pdf,pdf,SUCCEEDED
248,58,Harrison_s3_p5_QI_NP_interview.pdf,pdf,SUCCEEDED
249,58,Harrison_s3_p6_clinician_RN_interview.pdf,pdf,SUCCEEDED
250,58,Harrison_s3_p7_clinician_RN_interview.pdf,pdf,SUCCEEDED
251,58,Harrison_s3_p8_leader_interview.pdf,pdf,SUCCEEDED
252,58,Harrison_s3_p9_clinician_SW_interview.pdf,pdf,SUCCEEDED
253,58,Harrison_s4_p40_clinician_RN_part1 & 2_interview.pdf,pdf,SUCCEEDED
